Customer_ID,first_name,last_name,full_name,company_name,address,city,county,state,zip,phone1,phone2,email,Age,Sex,Occupation
100001,James,Butt,"Butt, James","Benton, John B Jr",6649 N Blue Gum St,New Orleans,Orleans,LA,70116,504-621-8927,504-845-1427,jbutt@gmail.com,20,Female,Nurses 
100002,Josephine,Darakjy,"Darakjy, Josephine","Chanay, Jeffrey A Esq",4 B Blue Ridge Blvd,Brighton,Livingston,MI,48116,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,33,Female,Healthcare workers 
100003,Art,Venere,"Venere, Art","Chemel, James L Cpa",8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,8014,856-636-8749,856-264-4130,art@venere.org,55,Female,Scientists 
100004,Lenna,Paprocki,"Paprocki, Lenna",Feltz Printing Service,639 Main St,Anchorage,Anchorage,AK,99501,907-385-4412,907-921-2010,lpaprocki@hotmail.com,35,Male,Nurses 
100005,Donette,Foller,"Foller, Donette",Printing Dimensions,34 Center St,Hamilton,Butler,OH,45011,513-570-1893,513-549-4561,donette.foller@cox.net,35,Female,IT / Computer professionals 
100006,Simona,Morasca,"Morasca, Simona","Chapman, Ross E Esq",3 Mcauley Dr,Ashland,Ashland,OH,44805,419-503-2484,419-800-6759,simona@morasca.com,50,Male,Psychologists 
100007,Mitsue,Tollner,"Tollner, Mitsue",Morlong Associates,7 Eads St,Chicago,Cook,IL,60632,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,49,Male,Accountants 
100008,Leota,Dilliard,"Dilliard, Leota",Commercial Press,7 W Jackson Blvd,San Jose,Santa Clara,CA,95111,408-752-3500,408-813-1105,leota@hotmail.com,27,Male,Scientists 
100009,Sage,Wieser,"Wieser, Sage",Truhlar And Truhlar Attys,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,57105,605-414-2147,605-794-4895,sage_wieser@cox.net,48,Male,Surgeons 
100010,Kris,Marrier,"Marrier, Kris","King, Christopher A Esq",228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,21224,410-655-8723,410-804-4694,kris@gmail.com,22,Male,Physicians (workpermit.com offers a special guide for foreign doctors and physicians interested in obtaining an H-1B visa) 
100011,Minna,Amigon,"Amigon, Minna","Dorl, James J Esq",2371 Jerrold Ave,Kulpsville,Montgomery,PA,19443,215-874-1229,215-422-8694,minna_amigon@yahoo.com,51,Female,Scientists 
100012,Abel,Maclead,"Maclead, Abel",Rangoni Of Florence,37275 St  Rt 17m M,Middle Island,Suffolk,NY,11953,631-335-3414,631-677-3675,amaclead@gmail.com,32,Male,Systems analysts 
100013,Kiley,Caldarera,"Caldarera, Kiley",Feiner Bros,25 E 75th St #69,Los Angeles,Los Angeles,CA,90034,310-498-5651,310-254-3084,kiley.caldarera@aol.com,25,Female,Nurses 
100014,Graciela,Ruta,"Ruta, Graciela",Buckley Miller & Wright,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,44023,440-780-8425,440-579-7763,gruta@cox.net,52,Male,Physicians (workpermit.com offers a special guide for foreign doctors and physicians interested in obtaining an H-1B visa) 
100015,Cammy,Albares,"Albares, Cammy","Rousseaux, Michael Esq",56 E Morehead St,Laredo,Webb,TX,78045,956-537-6195,956-841-7216,calbares@gmail.com,50,Male,Healthcare workers 
100016,Mattie,Poquette,"Poquette, Mattie",Century Communications,73 State Road 434 E,Phoenix,Maricopa,AZ,85013,602-277-4385,602-953-6360,mattie@aol.com,28,Male,Architects 
100017,Meaghan,Garufi,"Garufi, Meaghan","Bolton, Wilbur Esq",69734 E Carrillo St,Mc Minnville,Warren,TN,37110,931-313-9635,931-235-7959,meaghan@hotmail.com,30,Male,Healthcare workers 
